line,type,context,talking,talking_to,words,episode
10,testimony,"laughs, laughs",kirpa,aside,"Hi, my name is Kirpa. I'm a dental hygienist from Whittier, California. I really hope that Colton flosses, because being a dental hygienist, that is one of the first things I tend to gravitate to. It would be a good experienve to clean Colton's teeth. With Colton, that's as close as you can get right now, so I'll take it. I am blessed to have a fantastic family, a loving family from different backgrounds that loves each other. And puts up with one another. The only thing that has been missing is someone to share that with. The end of this, if it coud lead to an engagement, that would be amazing. Fingers crossed.",1
11,testimony,"laughs, laughs",demi,aside,"Hi, I'm Demi Burnett, 23 years old, and I'm hot doggin' for Colton. Vroom vroom! My friends and family would describe me as super bubbly and outgoing, a little sassy, country girl. I don't mind getting my has dirty and having fun. I've never had a serious relationship. I live with my dad and my stepmom. My dad always had the proper environment for us and so we've always been with him. My mom, she had to go to federal prison. She's there because of embezzlement. My mom is actually gonna get out very soon and the next time that I would potentiay see her would be with Colton. I'm really excited for Colton. I know that he's a virgin, it is kind of concerning. If you only ever have a vanilla cupcake, well, how do you know you don't like chocolate? How do you know you don't like strawberry? I feel like you got to try all the cupcakes first to know what you want. I am the damn confetti cake.",1
12,testimony,,colton,aside,"I'm Colton Underwood. I'm 26 and I never expected to be the next bachelor. I know not everybody's going to like me. I know I have a lot of room grow, but I also have an idea of what I want now. And that is what is so exciting about all this. I am the first virgin bachelor and it's crazy to even think about that. This is an opportunity of a lifetime, and I couldn't be more hopeful and excited. But then I also feel real nervous. Grade school Colton probaby would be really shy and timid, the fact that he was just named the bachelor. I grew up in a pretty conservative environment. I was at a Christian school I was always, like, the fat, chunky, awkward, weird kid. I didn't have girlfriends. I wanted to fit in so bad, but I felt very alone. A lot of days, I didn't want to go to school. My confidence in myself didn't come until my later years in high school. The one thing I knew how to do really well was football. When things were good, it was because of football. And that is why I got lost in it. I made it to the NFL. And for me, it was so special. I've had such a great life. I've had so many cool opportunities but the one thing I've been missing is somebody to share those with. I do know what love is. I mean, I've been in love before. And I remember how good I felt in those relationships. Falling in love with Becca was very eye‐opening. The comfort level was there chemistry was there. I was so open, I was so vulnerable. I was ready to really the next step. I was ready to lose my virginity to Becca. I was devastated when that relationship ended. And as tough and as challenging as that was, everything that has happened over the last year has been so transformative and so good for me. It's just the perfect time for me to focus on finding the person who I'm going to be spending the rest of my life with. I'm here to fall in love, and I'm here because I know how real it was when I was on the other side.",1
13,dialogue,,chris,colton,What's it like being announced the bachelor?,1
14,dialogue,,colton,chris,"For me, it was a little bit unexpected but it was something I was so grateful for, just the opportunity that I now knom going to have in front of me.",1
15,dialogue,,chris,colton,You weren't expecting it? You were a controversial choice.,1
16,dialogue,,colton,chris,"Yeah, I would be lying if I said I didn't look at any of the negative reactions.",1
17,dialogue,,chris,colton,Of course.,1
18,dialogue,,colton,chris,"Some of the comments, I could see where they come I get it. They think I'm not ready. And it's a fine balance because I'm not here to do it for the fans or do it to win people over. I'm doing this for me.",1
19,dialogue,,chris,colton,"How much of the negativity and ""he's not ready"" do you think has to do with your virginity?",1
20,dialogue,,colton,chris,"That ‐‐ that's sort of thee stigma around being a virgin. Oh, he's not romantic, oh, he's not going to be a good bachelor.",1
21,dialogue,,chris,colton,That he's not a man.,1
22,dialogue,,colton,chris,"Yeah. And that got thrown at me this year. That was the thing, for the first time in my life, what I feared people might say to me actually got said to me. I mean, it is one of those things, I'm not waiting for a ring. I'm not waiting for marriage. I'm waiting to be in love. I'm waiting for it to feel right, to take our relationship to the next step.",1
23,dialogue,,chris,colton,"You are about to have women from all over the country coming here just to meet you. Do you believe in love at first sight? Do you think you will see a girl tonight and go, ""that's the one?""",1
24,dialogue,,colton,chris,I thought about that.,1
25,dialogue,,chris,colton,It's cool to think about.,1
26,dialogue,,colton,chris,"It is very cool to think about. But then, part of me, I don't want that because I just want to treat every relationship differently.",1
27,testimony,,colton,aside,"Being back here at the mansion reminds me that this works. This is real. And I am so humble and I ao grateful for this opportunity, but I am also so hopeful. This is my time. I am diving headfirst, and I'm going. And I can't wait to get started.",1
28,testimony,,kirpa,aside,"I'm ready to find love, and I'm very excited to meet Colton.",1
29,testimony,,cassie,aside,"I am so excited that Colton is the bachelor. I think a ring would look pretty good on this finger, so...",1
30,sound,laughs,,,,1
31,dialogue,,heather,women,"Cheers to tonight, ladies!",1
32,exclamation,,women,self,Yay!,1
33,dialogue,,chris,colton,Colton.,1
34,dialogue,,colton,chris,"Chris, how's it going?",1
35,dialogue,,chris,colton,Welcome back!,1
36,dialogue,,colton,chris,Good to be back.,1
37,dialogue,,chris,colton,"Looking good, man.",1
38,dialogue,,colton,chris,"Thank you. You do, too.",1
39,dialogue,,jane,women,I was hoping for Colton.,1
40,dialogue,,???,women,"Yeah, he's the best.",1
41,testimony,,hannahb,aside,I don't think there could have been a more perfect bachelor for me. We would have really cute dimple babies.,1
42,dialogue,,colton,chris,"The athlete in me wants to have a gameplan, I want to have a strategy, but I just want be present. I want to be living in the moment, I want to have fun with this.",1
43,dialogue,,???,women,"You know he's going to be nervous, and you're a litte nervous.",1
44,dialogue,,???,women,Is he more nervous than?,1
45,dialogue,,???,women,"Yes, absolutely.",1
46,dialogue,,colton,chris,I remember my walkup still.,1
47,dialogue,,chris,colton,What did you say to Becca?,1
48,dialogue,,colton,chris,I still don't remember I said. I blacked out for that moment. I just remember how incredible that feeling was walking in there for the first time.,1
49,exclamation,,women,self,"My heart is pounding so! This is happening, oh, y God.",1
50,dialogue,,elyse,women,This is insane.,1
51,sound,contestants exclaim,,,,1
52,dialogue,,chris,colton,"All right, man. This is it.",1
53,dialogue,,colton,chris,Pregame jitters. I'm ready to go.,1
54,dialogue,,chris,colton,"I hope you are ready to go because the first limo is pulling up the driveway right now. Colton, good luck.",1
55,dialogue,,colton,chris,Thank you.,1
56,dialogue,,chris,colton,Let the journey begin.,1
57,exclamation,"laughter, contestants exclaim ""Colton""",women,self,"Oh, my God! he looks so cute! He's going to be blushing whole night. I could die right here, right now.",1
58,dialogue,,colton,demi,How are you?,1
59,dialogue,,demi,colton,"Hi. I'm good, how are you? I'm Demi.",1
60,dialogue,,colton,demi,Colton. Nice to meet you.,1
61,dialogue,,demi,colton,"Nice to meet you, too. You look so good.",1
62,dialogue,,colton,demi,You too. I love that color.,1
63,dialogue,,demi,colton,"Oh, thank you. Banana yellow. So I have not dated a virgin since I was 12. But I'm excited to give it another shot.",1
64,dialogue,,colton,demi,"All right, I love that. Yes.",1
65,dialogue,,demi,colton,"All righty, so I'll see you inside.",1
66,dialogue,,colton,self,"Oh, boy. I'm in trouble.",1
67,dialogue,,colton,tayshia,How are you?,1
68,dialogue,,tayshia,colton,"Hi. I'm good, how are you?",1
69,dialogue,,colton,tayshia,Good. What's your name?,1
70,dialogue,,tayshia,colton,My name is Tayshia. How nervous are you right now?,1
71,dialogue,,colton,tayshia,I'm a little nervous but mostly excited. How about you?,1
72,dialogue,,tayshia,colton,"I'm freaking out but it's good. So I don't know much about you, but the one thing I do know is that you have a really big heart and you care about kids, and doing your part in the word I think that's really special because I do, too.",1
73,dialogue,,colton,tayshia,"Thank you. I'll see you inside, all right?",1
74,dialogue,,tayshia,colton,"All right, sounds good.",1
75,dialogue,,colton,producer,She's gorgeous.,1
76,dialogue,,heather,colton,"Hi, Colton!",1
77,dialogue,,colton,heather,How are you?,1
78,dialogue,,heather,colton,"Oh, my goodness. How's it going? My name is Heather.",1
79,dialogue,,colton,heather,"Heather, nice to meet you.",1
80,dialogue,,heather,colton,"So great to meet you. I can't believe I'm standing in front of you right now. Like, ah! I just can't believe I'm here. I just wanted to let you know that you are incredibly rare, Colton, and I would not be here if it wasn't for you.",1
81,dialogue,,colton,heather,"Well, I'm glad you're here.",1
82,dialogue,,heather,colton,Thank you.,1
83,dialogue,,colton,heather,Yep.,1
84,dialogue,,nicole,colton,Hi.,1
85,dialogue,,colton,nicole,How are you doing?,1
86,dialogue,,nicole,colton,"I'm good, how are you?",1
87,dialogue,,colton,nicole,Good. What's your name?,1
88,dialogue,,nicole,colton,Nicole.,1
89,dialogue,,colton,nicole,"Nicole, Colton.",1
90,dialogue,,nicole,colton,"Colton. La mitad de mi corazon est en la habana. Y con mucho suerte, mi corn esta contigo.",1
91,dialogue,,colton,nicole,I like the way that sounds. What does it mean?,1
92,dialogue,,nicole,colton,"Half of my heart is in Havana, but hopefully the other part is with you.",1
93,dialogue,,colton,nicole,I like that. So you are from Havana?,1
94,dialogue,,nicole,colton,I'm actually from Miami but my family is from Havana.,1
95,dialogue,,colton,nicole,"That's awesome. I'll see you inside, all right? Thank you.",1
96,dialogue,,colton,caelynn,Look at this. How are you?,1
97,dialogue,,caelynn,colton,Hello! how are you?,1
98,dialogue,,colton,caelynn,Great.,1
99,dialogue,,caelynn,colton,I'm Caelynn.,1
100,dialogue,,colton,caelynn,"Caelynn. Colton, nice to meet you.",1
101,dialogue,,caelynn,colton,It's so nice to meet you.,1
102,dialogue,,colton,caelynn,I like what you got going.,1
103,dialogue,laughs,caelynn,colton,,1
104,dialogue,,colton,caelynn,Look at this.,1
105,dialogue,,caelynn,colton,So I am miss North Carolina.,1
106,dialogue,,colton,caelynn,That's awesome.,1
107,dialogue,,caelynn,colton,"But I'm here for an even better title, and that is..",1
108,dialogue,,colton,caelynn,Miss underwood. Look at that. I love that. That is awesome.,1
109,dialogue,,caelynn,colton,I'm really looking forward talking to you inside.,1
110,dialogue,,colton,caelynn,"You, too. I'll see you.",1
111,dialogue,,colton,producer,She's gorgeous.,1
112,dialogue,,sydney,colton,How are you?,1
113,dialogue,,colton,sydney,"Oh, good.",1
114,dialogue,,sydney,colton,"Good. Nice to meet you, I'm Sydney.",1
115,dialogue,,colton,sydney,I'm Colton. Nice to meet you.,1
116,dialogue,,sydney,colton,Nice to meet you. I had to choose between basically quitting my job and coming here to meet you and I think I made the right choice.,1
117,dialogue,,colton,sydney,I appreciate that. What did you do?,1
118,dialogue,,sydney,colton,I was ‐‐ I am a dancer.,1
119,dialogue,,colton,sydney,I am a terrible dancer.,1
120,dialogue,,sydney,colton,I will teach you.,1
121,dialogue,,colton,sydney,Yes! that's awesome. See you.,1
122,dialogue,,sydney,colton,See you.,1
123,testimony,,sydney,aside,"Colton's looking good. I do feel very assured. It also feels nice when you can tell someone else is nervous and you feel the same way, so you feel a little bit on the same page.",1
124,dialogue,,elyse,colton,Hi.,1
125,dialogue,,colton,elyse,How are you?,1
126,dialogue,,elyse,colton,Nervous.,1
127,sound,laughs,,,,1
128,dialogue,,colton,elyse,"That's all right. I am, too.",1
129,dialogue,,elyse,colton,I'm Elyse. Nice to meet you.,1
130,dialogue,,colton,elyse,"Colton, nice to meet you, Elyse.",1
131,dialogue,,elyse,colton,I'm so nervous.,1
132,dialogue,,colton,elyse,"Don't be nervous. We are going to have a great time. It all starts tonight. I'll see you inside, all right?",1
133,dialogue,,elyse,colton,"Okay, thank you.",1
134,testimony,,elyse,aside,"I just walked up and I was like, crap, you are way ber looking in person, and I am not one that normally gets nervous around guys but I have absolutely no clue what I said.",1
135,dialogue,,colton,tahzjuan,What is your name?,1
136,dialogue,,tahzjuan,colton,Tahzjuan.,1
137,dialogue,,colton,tahzjuan,Tahzjuan.,1
138,dialogue,,tahzjuan,colton,Yes. So I know my name is really hard to pronounce.,1
139,dialogue,,colton,tahzjuan,Yes.,1
140,dialogue,,tahzjuan,colton,So I hope I am the one for you. What do you think?,1
141,dialogue,,colton,tahzjuan,I like it.,1
142,testimony,,tahzjuan,aside,"Colton is looking phenomenal. I am thinking, don't step on your dress and trip and fan your face. If you are going to fall at all, you fall for Colton.",1
143,dialogue,,colton,cassie,How are you doing?,1
144,dialogue,,cassie,colton,"Hi. I'm good, how are you?",1
145,dialogue,,colton,cassie,Good.,1
146,dialogue,,cassie,colton,I'm Cassie.,1
147,dialogue,,colton,cassie,Colton. Nice to meet you.,1
148,dialogue,,cassie,colton,"Nice to meet you, too.",1
149,dialogue,,colton,cassie,What do you got?,1
150,dialogue,,cassie,colton,I am so nervous right now.,1
151,dialogue,,colton,cassie,"It's okay, I am, too.",1
152,dialogue,,cassie,colton,"I have so many butterflies. No, I literally have butterflies.",1
153,sound,laughs,,,,1
154,dialogue,,colton,cassie,No more butterflies. Get them all out of there.,1
155,dialogue,laughs,cassie,colton,I guess that takes care of my butterflies. I feel like I still have a little bit of butterflies if that's okay.,1
156,dialogue,,colton,cassie,They'll go away. I love it.,1
157,testimony,,cassie,aside,"I could tell he was, like, a little nervous, too. And I'm sure he's just nervous about this whole night.",1
158,dialogue,,colton,producer,That was awesome.,1
159,dialogue,,demi,cassie,"Hey, girlie.",1
160,dialogue,,???,cassie,How was it?,1
161,sound,laughter,,,,1
162,testimony,,cassie,aside,"I had a box of fake butterflies but my feelings are real, and if he felt the same way that I feel about everything, then I think we are off to a really good start.",1
163,dialogue,,tayshia,women,He was so nervous.,1
164,dialogue,,caelynn,women,I know he was.,1
165,dialogue,,cassie,women,So cute.,1
166,dialogue,laughs,caelynn,women,"I was looking in his eyes and I was, like, wow. you are good looking.",1
167,testimony,,caelynn,aside,You just talk to him and you are just sucked into his eyes and he is so calming.,1
168,dialogue,,colton,kirpa,What is your name?,1
169,testimony,,kirpa,aside,Kirpa.,1
170,dialogue,,colton,kirpa,You look beautiful.,1
171,dialogue,,kirpa,colton,"Thank you, thank you. I'm just excited to be here I'm really glad that it's you.",1
172,dialogue,,colton,kirpa,Thank you. It's going to be so much fun.,1
173,dialogue,,kirpa,colton,"I think so, too.",1
174,dialogue,,colton,kirpa,I'll see you inside.,1
175,testimony,,kirpa,aside,"Colton has this, like, soothing presence about him. It is like, okay, everything's going to be okay.",1
176,dialogue,,demi,women,"He is such a gentle, genuine person. So sweet.",1
177,dialogue,,cassie,women,Yes.,1
178,testimony,,demi,aside,"And he's just a big, huge teddy bear who makes me fel like a little tiny baby and I loved it.",1
179,dialogue,,demi,women,First one up and I had to bring up the virgin thing.,1
180,sound,laughter,,,,1
181,dialogue,,demi,women,"He's like, damn it. Well, someone had to do it.",1
182,dialogue,,caitlin,colton,My name is Caitlin.,1
183,dialogue,,colton,caitlin,"Caitlin. Colton, nice to meet you.",1
184,dialogue,,caitlin,colton,Nice to meet you. This is for you.,1
185,dialogue,,colton,caitlin,"Oh, thank you.",1
186,dialogue,laughs,caitlin,colton,"Now that I've popped your cherry, we don't need to talk about virginity anymore.",1
187,dialogue,laughs,colton,caitlin,"oh, boy! yep, no more, huh? I love it.",1
188,dialogue,,caitlin,colton,See you soon.,1
189,dialogue,,colton,caitlin,"Yep, see you soon.",1
190,dialogue,,colton,producer,"I thought that was an apple. Oh, boy.",1
191,dialogue,,demi,caitlin,"Hi! what's up, girl? What's your name?",1
192,dialogue,,caitlin,women,"Hey, I'm Caitlin.",1
193,dialogue,,women,caitlin,Hi.,1
194,dialogue,,caitlin,women,"He is so friggin' cute. Oh, my God.",1
195,dialogue,,demi,caitlin,What did you do?,1
196,dialogue,,caitlin,women,I brought a balloon that was a cherry and I popped it.,1
197,exclamation,,women,self,"Oh, fun!",1
198,dialogue,,courtney,colton,Have you ever tasted a sweet Georgia peach?,1
199,dialogue,,colton,courtney,I haven't.,1
200,dialogue,,courtney,colton,I have one for you. Do you want to try it?,1
201,dialogue,,colton,courtney,"Yeah, let's try it.",1
202,dialogue,,courtney,colton,"I'm from Atlanta, Georgia, and that makes me a sweet Georgia peach. Do you want more of that? Come find me inside, okay?",1
203,dialogue,,colton,courtney,I'll save it for later?,1
204,testimony,,nicole,aside,"I feel like I would never have brought up his virginity right away because it is to personal. Like, ""Hi, I'm Nicole, I hear you're a virgin."" That's cool. Yeah, I would never do that.",1
205,dialogue,,katie,colton,You are going to think of what the card is. Don't look.,1
206,dialogue,,colton,katie,Yes.,1
207,dialogue,,katie,colton,"I don't know what card you were thinking, but I think I just took your V-card.",1
208,sound,laughter,,,,1
209,testimony,,caitlin,aside,Already I feel like you can kind of tell who mighta little bit feistier than others. But I don't know what Colton's type is. Maybe he likes a girl who's little bit slower.,1
210,dialogue,,colton,alexd,It's a sloth.,1
211,dialogue,,alexd,colton,Hi...,1
212,dialogue,,colton,alexd,How's it going?,1
213,dialogue,,alexd,colton,Colton... I... Heard... You... Take... Things... Slow... ...ly.,1
214,dialogue,,colton,alexd,"Oh, boy, this is going o take forever.",1
215,dialogue,,alexd,colton,My...,1
216,dialogue,,colton,alexd,You okay?,1
217,dialogue,,alexd,colton,Name... I'm good! is... Alex! it's nice to meet you.,1
218,dialogue,,colton,alexd,I didn't know if I should go in for a slow hug or not. Catch you later. I got you.,1
219,dialogue,,colton,producer,That was... Pretty good...,1
220,sound,contestants exclaim,,,,1
221,dialogue,,nicole,alexd,I feel like you're my therapy support animal for this night.,1
222,testimony,,nicole,aside,"I'm taking it so serious, oh, my God, how does my dress look? And then a sloth comes in. Like, what's up?",1
223,dialogue,,demi,alexd,I admire your bravery.,1
224,testimony,,tahzjuan,aside,"I don't know, what are you going to tell your grandchildren? I pulled up in a sloth costume. You have to, like, think think these things through.",1
225,dialogue,,onyeka,colton,"Okay, so my name is Onyekachukwu.",1
226,dialogue,,colton,onyeka,Onyeka-chu-chu-,1
227,dialogue,,onyeka,colton,"You can just call me Onyeka, okay?",1
228,dialogue,,colton,onyeka,"Thank you, Onyeka.",1
229,dialogue,,onyeka,colton,You are welcome.,1
230,dialogue,,colton,onyeka,I'll work on it later.,1
231,dialogue,,onyeka,colton,You are going to kill it. You are going to kill it.,1
232,sound,laughs,,,,1
233,testimony,"laughs, laughs",onyeka,aside,Colton looks ravishing. Colton is a snack and I'm here to eat. Mama's ready to eat.,1
234,dialogue,,erika,colton,Nice to meet you.,1
235,dialogue,,colton,erika,What you got here?,1
236,dialogue,,erika,colton,My last name is McNutt.,1
237,dialogue,,colton,erika,McNutt?,1
238,dialogue,,erika,colton,Yes.,1
239,dialogue,,colton,erika,I love McNutt.,1
240,dialogue,,erika,colton,"Some of my friends call me nut, nutty. Remember me with this, nut.",1
241,dialogue,,colton,erika,I might start eating that little bit later. For sure. I'll see you in there.,1
242,dialogue,,erika,colton,Thank you.,1
243,testimony,,colton,aside,Anybody who brings food instantly wins me over.,1
244,dialogue,,colton,hannahb,How are you?,1
245,dialogue,,hannahb,colton,"Hey, I'm great, how are?",1
246,dialogue,,colton,hannahb,I'm good.,1
247,dialogue,,hannahb,colton,It's nice to meet you. I'm Hannah.,1
248,dialogue,,colton,hannahb,"Colton. Nice to meet you, Hannah.",1
249,dialogue,,hannahb,colton,Yeah!,1
250,dialogue,,colton,hannahb,Where you from?,1
251,dialogue,,hannahb,colton,Where do you think?,1
252,dialogue,,colton,hannahb,Not Arkansas?,1
253,dialogue,,hannahb,colton,No. You are good.,1
254,dialogue,,colton,hannahb,All right.,1
255,dialogue,,hannahb,colton,"Alabama. Yeah, roll tide.",1
256,dialogue,,colton,hannahb,Roll tide. I could get down with that.,1
257,dialogue,,hannahb,colton,"Oh, you said it! This can work. Okay.",1
258,dialogue,,colton,hannahb,"Hey, I'll see you inside, all right?",1
259,dialogue,,hannahb,colton,Can't wait. Bye.,1
260,dialogue,,colton,hannahb,Bye. Roll tide.,1
261,dialogue,,demi,hannahb,"What up, girlie?",1
262,dialogue,,hannahb,women,Hi! I'm Hannah.,1
263,dialogue,,onyeka,hannahb,"Hi, I'm Onyeka, nice to meet you.",1
264,dialogue,,demi,hannahb,Where are you from?,1
265,dialogue,,hannahb,demi,Alabama.,1
266,dialogue,,hannahb,caelynn,Hey.,1
267,dialogue,,caelynn,hannahb,How are you?,1
268,dialogue,,hannahb,caelynn,Good. How are you?,1
269,dialogue,,caelynn,hannahb,"Good, good to see you.",1
270,dialogue,,onyeka,hannahb,"Wait, you guys know each other?",1
271,dialogue,,caelynn,women,She's miss Alabama.,1
272,sound,contestants exclaim,,,,1
273,exclamation,,women,self,"Oh, my goodness!",1
274,testimony,,hannahb,aside,"Caelynn, she was first runner‐up at Miss USA. She beat me. It's cool.",1
275,dialogue,,nicole,women,"I feel like if one more pageant person comes in, I'm out.",1
276,sound,laughter,,,,1
277,dialogue,,courtney,women,I'm ripping sashes.,1
278,testimony,,hannahb,aside,"Coming here, I didn't wt to feel like competition in any way. But there she is, dating the same man, and I just hope we don't have to kill each other.",1
279,sound,sirens wailing,,,,1
280,dialogue,,???,women,That's the sound of the police.,1
281,dialogue,,???,women,What the heck is going ?,1
282,dialogue,,???,women,Come on!,1
283,dialogue,laughs,???,women,That's it. There is a siren. Now the party's really started.,1
284,dialogue,,tracy,colton,Hi.,1
285,dialogue,,colton,tracy,How are you?,1
286,dialogue,,tracy,colton,Good. I'm Tracy.,1
287,dialogue,,colton,tracy,I'm Colton. I love your ride.,1
288,dialogue,,tracy,colton,So nice to meet you.,1
289,dialogue,,colton,tracy,Nice to meet you.,1
290,dialogue,,tracy,colton,"So I'm a wardrobe stylist, but tonight, I'm the fashion police, so I want to see what we are working with here. Let's do a little spin. I'm loving this suit. Thankfully, I don't have to arrest you tonight but I'm going to give you these to hold on to..",1
291,dialogue,,???,women,"That's kind of dominatrix, wait.",1
292,dialogue,,colton,tracy,"I'll see you inside, all right?",1
293,dialogue,,???,women,"Oh, my God, that is quite entrance.",1
294,dialogue,,???,women,"Wow, what an entrance. I'm jealous.",1
295,dialogue,,colton,producer,I'll save these for the fantasy suite.,1
296,dialogue,,tracy,women,Hi.,1
297,testimony,,nicole,aside,Thank God the fashion police is here because I've never seen so many sequins in my life.,1
298,dialogue,,onyeka,women,Sequin girls!,1
299,dialogue,,angelique,colton,So nice to meet you.,1
300,dialogue,,colton,angelique,Nice to meet you. You got the glitter going on all over.,1
301,dialogue,,angelique,colton,"Just so you know, it leaves little glitter behind so you'll remember me.",1
302,dialogue,,colton,angelique,That's okay.,1
303,testimony,,nicole,aside,"Like, I had no idea, I didn't get the debutante, miss America memo.",1
304,dialogue,,???,women,Did you just get here? You're part of the spare squad. Clearly it's a trend.,1
305,dialogue,,devin,colton,Hi.,1
306,dialogue,,colton,devin,Love that dress.,1
307,dialogue,,devin,colton,Thank you.,1
308,dialogue,,colton,devin,How are you?,1
309,dialogue,,devin,colton,I'm good. I'm so glad it's you.,1
310,sound,laughs,,,,1
311,dialogue,,colton,devin,"Thank you, thank you.",1
312,dialogue,,nicole,women,We are competing against each other but we are also going to be friends.,1
313,dialogue,,erika,women,"Friendly competition, you know. But one of us is going to a ring.",1
314,testimony,,nicole,aside,"I'm surrounded by so may beautiful girls tonight. In my eyes, I'm like, oh, my God, forget it. He's not going to notice me. So I thought when I was speaking Spanish, that was kind of a crazy thing. Hopefully I'll stand out.",1
315,dialogue,speaking Mandarin,revian,colton,"So I just want to tell you Which is Mandarin for ""I think you're a stud muffin""",1
316,dialogue,,colton,revian,Thank you. I don't know a lot of Mandarin.,1
317,dialogue,,revian,colton,I'll teach you more inside.,1
318,dialogue,,colton,revian,"Cool, I can't wait.",1
319,testimony,,revian,aside,My parents are from China and I speak Mandarin fluently. It's going to make me stand out to Colton.,1
320,dialogue,speaking Croatian,nina,colton,I'm so glad that you're the Bachelor and you're even more handsome in person.,1
321,dialogue,,colton,nina,"I heard ""bachelor.""",1
322,dialogue,,nina,colton,"I speak English, too.",1
323,dialogue,,colton,nina,"Oh, thank God.",1
324,dialogue,laughs,nina,colton,That was Croatian. That is my first language. Thank you.,1
325,dialogue,,colton,nina,Cool.,1
326,dialogue,,nina,colton,Thank you.,1
327,dialogue,,colton,nina,"Well, I look forward to meeting you inside, all right?",1
328,dialogue,,nina,colton,Thank you. Take care.,1
329,dialogue,,???,nina,Hi!,1
330,dialogue,,nina,women,Hi ladies. How are you?,1
331,testimony,,tayshia,aside,It is so important to make good first impression with Colton. I think we are all just trying to speak his language. We are all trying to give him the sign.,1
332,dialogue,,colton,alexb,"Aww. Love it. I'm giving you a hug anyway. That was awesome. See you inside, all right?",1
333,dialogue,,colton,producer,"Man, I wish I could have told to her.",1
334,dialogue,,colton,bri,Colton. What is your name?,1
335,dialogue,,bri,colton,Bri.,1
336,dialogue,,colton,bri,So nice to meet you.,1
337,dialogue,,bri,colton,Nice to meet you.,1
338,dialogue,,colton,bri,You got a nice accent.,1
339,dialogue,,bri,colton,The accent is Australian. I was hoping that you were a kind of a sucker for accents. Let me know what you thk about it.,1
340,dialogue,,colton,bri,"I love it. I'll see you inside, all right?",1
341,testimony,,bri,aside,"I'm not really Australian, but you have to do what you can to stand out.",1
342,dialogue,,colton,laura,You look fantastic.,1
